Timestamp,Roll,Pitch,Yaw,EulerX,EulerY,EulerZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LinearAccX,LinearAccY,LinearAccZ,Pressure,Altitude+10,Piezo,Label
00:00:00:071,1.48,-0.73,-7.53,1.48,0.73,7.53,0.01,-0.01,0,1,0.04,1.06,-0.02,-7.63,1.04,-5.25,-194.39,-360.2,-600.9,0.07,1.07,-1.02,1014.03,3.51,303,1
00:00:00:187,7.86,-4.41,-8,7.86,4.41,8,0.07,-0.04,0,1,0.01,1.1,-0.34,-0.61,5.74,-5.13,-204.9,-374.26,-604.28,0.14,1.17,-1.33,1014.03,3.5,42,1
00:00:00:314,14.58,-8.68,-9.43,14.58,8.68,9.43,0.13,-0.08,-0.01,0.99,-0.08,1.22,-0.82,-0.12,7.14,-5.31,-182.13,-386.56,-619.52,0.17,1.37,-1.78,1014.04,3.44,43,1
00:00:00:429,20.85,-12.67,-11.49,20.85,12.67,11.49,0.18,-0.11,-0.01,0.98,0.03,1.04,-0.36,-1.83,4.88,-5,-189.13,-390.08,-595.82,0.38,1.26,-1.27,1014.05,3.32,48,1
00:00:00:545,26.55,-13.91,-15.11,26.55,13.91,15.11,0.22,-0.13,-0.04,0.97,0.04,1.05,-0.19,-10.68,0.98,-5.19,-197.89,-377.78,-600.9,0.48,1.29,-1.05,1014.05,3.32,41,1
00:00:00:666,32.67,-16.22,-18.81,32.67,16.22,18.81,0.26,-0.16,-0.05,0.95,0.04,1.04,0.03,-10.01,2.14,-5.13,-199.64,-383.05,-595.82,0.56,1.31,-0.78,1014.06,3.41,41,1
00:00:00:782,38.66,-17.87,-23.32,38.66,17.87,23.32,0.3,-0.19,-0.08,0.93,0.38,0.99,0.4,-2.62,-1.1,-5.07,-196.14,-383.05,-595.82,0.97,1.3,-0.34,1014.04,3.41,28,1
00:00:00:900,43.49,-19.49,-28.09,43.49,19.49,28.09,0.33,-0.22,-0.1,0.91,-0.44,0.83,0.46,-7.02,17.76,-5.31,-201.39,-395.35,-604.28,0.21,1.17,-0.22,1014.04,3.45,40,1
00:00:01:016,46.24,-20.33,-33.39,46.24,20.33,33.39,0.34,-0.24,-0.14,0.9,-0.71,0.77,-0.24,-15.38,6.9,-5.55,-206.65,-386.56,-609.36,-0.04,1.12,-0.89,1014.02,3.49,55,1
00:00:01:132,52.05,-23.15,-39.15,52.05,23.15,39.15,0.36,-0.29,-0.16,0.87,-0.32,1.05,-0.64,-1.95,12.82,-5.07,-204.9,-388.32,-607.67,0.41,1.45,-1.2,1014.04,3.35,55,1
00:00:01:263,57.03,-24.11,-45.01,57.03,24.11,45.01,0.38,-0.32,-0.18,0.85,-0.16,0.87,-0.29,-13.85,7.87,-5.31,-208.4,-391.83,-614.44,0.6,1.28,-0.78,1014.04,3.46,36,1
00:00:01:378,62.64,-23.92,-50.79,62.64,23.92,50.79,0.41,-0.35,-0.21,0.82,0.13,0.96,-0.03,-4.7,0.18,-5.13,-199.64,-400.62,-619.52,0.94,1.36,-0.45,1014.05,3.34,45,1
00:00:01:496,62.22,-20.09,-55.52,62.22,20.09,55.52,0.4,-0.34,-0.26,0.81,-0.09,0.79,-0.38,-16.97,4.46,-5.68,-210.15,-379.53,-599.21,0.74,1.13,-0.82,1014.05,3.31,37,1
00:00:01:612,66.93,-19.77,-60.82,66.93,19.77,60.82,0.42,-0.37,-0.28,0.78,-0.07,0.89,-0.41,-4.64,6.29,-5.13,-196.14,-393.59,-595.82,0.79,1.23,-0.78,1014.04,3.38,53,1
00:00:01:728,70.31,-17.55,-66.11,70.31,17.55,66.11,0.44,-0.39,-0.32,0.75,0.19,0.94,-0.65,-3.91,2.14,-5.25,-190.89,-384.8,-607.67,1.09,1.24,-0.97,1014.04,3.54,39,1
00:00:01:846,73.96,-16.84,-71.07,73.96,16.84,71.07,0.44,-0.41,-0.34,0.72,0.07,0.97,-0.08,-12.94,0.61,-4.76,-199.64,-379.53,-602.59,0.99,1.26,-0.34,1014.03,3.49,59,1
00:00:01:962,77.04,-15.89,-75.85,77.04,15.89,75.85,0.45,-0.44,-0.36,0.69,0.07,1.07,0.15,-3.6,2.56,-5.07,-211.9,-384.8,-617.82,1.01,1.34,-0.06,1014.04,3.36,42,1
00:00:02:093,81,-14.69,-80.68,81,14.69,80.68,0.46,-0.46,-0.38,0.66,-0.04,1.11,-0.91,-6.1,5.74,-5.31,-190.89,-388.32,-600.9,0.91,1.36,-1.06,1014.04,3.44,39,1
00:00:02:209,83.89,-13.59,-85.24,83.89,13.59,85.24,0.46,-0.48,-0.4,0.62,-0.03,1.09,-0.58,-6.41,4.58,-5,-199.64,-386.56,-609.36,0.94,1.33,-0.68,1014.04,3.4,52,1
00:00:02:325,86.8,-11.9,-89.54,86.8,11.9,89.54,0.47,-0.51,-0.42,0.59,0.18,0.86,0.18,-14.28,-1.1,-5.19,-211.9,-384.8,-607.67,1.15,1.07,0.12,1014.04,3.43,43,1
00:00:02:443,88.06,-9.52,-93.49,88.06,9.52,93.49,0.47,-0.52,-0.45,0.56,0.1,0.98,0.33,-11.54,0.85,-5,-197.89,-398.86,-607.67,1.08,1.15,0.3,1014.02,3.57,46,1
00:00:02:559,88.11,-7.48,-96.8,88.11,7.48,96.8,0.46,-0.52,-0.47,0.54,0.12,0.96,0.37,-2.56,3.11,-5.07,-189.13,-386.56,-599.21,1.11,1.09,0.33,1014.03,3.56,46,1
